,name,total,uri
0,COVID-19 Quarantine Party,111,spotify:playlist:55V6HUzPnISl7ADpE3yfUD
1,Calma,151,spotify:playlist:37i9dQZF1DWY5LGZYBBHHz
2,quarantine Vibes | Covid 19 |,20,spotify:playlist:6zjC569rXoYGOLwPUt37WW
3,COVID-19 Quarantine Party,37,spotify:playlist:1Tn6OrkJhOYO5u6y16erqB
4,Canciones Mas Virales que el Coronavirus 🦠🎶,80,spotify:playlist:4Y2h9TZNZersxSYeXujCNu
5,Quarantine covid - 19,100,spotify:playlist:7qJzyN6atsM49NOWnqGbEK
6, COVID Quarantine Dance Party,67,spotify:playlist:6YtMiqSUG7ec8D0NiOjVyB
7,CORONAVIRUS QUARANTINE PARTY COVID-19 2020,58,spotify:playlist:3r9u5bXzAYEvc0xBKkSnAx
8,Lofi lockdown - relaxing lofi chill hop while in COVID-19 quarantine,426,spotify:playlist:7Frl2wr2hyco5xLzGJEjU3
9,Cuarentena COVID-19,91,spotify:playlist:187Q3aEaTzRfGXYt5CTRKe
10,Drunksouls COVID19 quarantine discovery: music is the virus!,43,spotify:playlist:64KUBwKGkUEqIU08HDhJ94
11,COVID-19 Quarantine Party,50,spotify:playlist:0oGgmiFakEi5xY1aXC24g5
12,chill beats to quarantine to,103,spotify:playlist:5bPe4ZISvKWU5yTzsSO9lX
13,para chupar hasta vomitar lo que sientes por tu ex,177,spotify:playlist:3V94x9sUQutfAWdpfxzJEC
14,Covid-19,20,spotify:playlist:5a85EJBR2bRNT4Y2HL9nSS
15,canciones más contagiosas que el covid-19,37,spotify:playlist:2bdcVg4INHLQOlKYqPU1Zz
16,Music to Be Quarantined By ,35,spotify:playlist:12gyWY48p8cNZefiG0fX84
17, Quarantine Covid-19 Summer Playlist ,83,spotify:playlist:3hPN88cnjjeVaQllAo7wXR
18,Jarochilandia con COVID-19,903,spotify:playlist:3Leo5lHkDWZNDJ7TZrFxBq
19,CUARENTINI COVID - 19  #QuedateEnCasa,169,spotify:playlist:5Jwov4AKwH8DH64W8UV3c3
20,COVID-19 QUARANTINE PARTY PLAYLIST,172,spotify:playlist:5Sw2qVuppKXXRKCevWGzlc
21,Covid19 quarantine bangers,101,spotify:playlist:7s7Qvwtm9Ll0r0OBWgjLb0
22,DEFQON.1 | Primal Energy | Q-dance-WarmUp🔥  unofficial playlist��,237,spotify:playlist:1xq9FGwSXtyiIhzpmAHYbe
23,Quarantine Muzik - Corona Virus / Summer 2020 🔥,18,spotify:playlist:1nSTCAv13G9dIoMRKngACx
24,COVID19 Quarantine Party,120,spotify:playlist:6l09c9xwHpoDgnKBSCd48F
25,work from home (COVID-19),246,spotify:playlist:6DBtSuF4uPkf1BpvptlAOE
26, COVID-19 Quarantine Party,286,spotify:playlist:1ggca4HcbFPQBPTGRNPtph
27,13 horas de perreo tan sucio que te da Covid-19,227,spotify:playlist:1ri9iDMblW3MLIBCRJJ2sM
28, COVID-19 by Petshopboy,214,spotify:playlist:6vk5cPaVvU0mse7JB9ESzk
29,Covid-19 Quarantine Worship,369,spotify:playlist:7kvKrh84rxUw53ys9V2dSd
30,1007 EM CASA 🏡,139,spotify:playlist:5ghroSeVqArGnO0M16qa5q
31,Gen X COVID 19 Quarantine,174,spotify:playlist:2PNdWycymHERq7Pq1daC2G
32,COVID-19 CUARENTENA MIX ESPAÑA🇪🇸,110,spotify:playlist:0MQST4eDrnJzxWWrgeGN1y
33,EZ4ENCE CSGO COVID-19 QUARANTINE,75,spotify:playlist:0oaYj7Q2QIRWqM2b6sBTcr
34,Musica para caminar rapido #QuedateEnCasa,41,spotify:playlist:7mksl5HEvtraFepvXmBJJw
35,#covidfarra,250,spotify:playlist:2V2Q4xIgLiLUrWW5T45vom
36,Christian Quarantine,87,spotify:playlist:6FacbZlQPORr8PDezDTCCy
37,Household chores during COVID-19 quarantine,95,spotify:playlist:7w1y3shCr8uDx1aKRG8MKb
38,Post Punk Quarantunes,90,spotify:playlist:0ZBoeP6R5NlRBVBoC3gTWR
39,lofi chillhop beats to quarantine/self isolate to,51,spotify:playlist:0npZlnzi42J4b0vQ3QnFpY
40,Fun dinner times,258,spotify:playlist:4pXOV2XwVJHucVBsJqBSTf
41,covid-19 beats to quarantine yourself to,41,spotify:playlist:2lH49Rny7JyBdhNF89D7Yr
42,COVID 19 QUARANTINE KPOP PARTY,54,spotify:playlist:63GZb81yx6piOZKBgYlZJo
43,Mulheres de Fé ,47,spotify:playlist:5DOQj0LEGdcpntnYB2KZEX
44,Perreando en cuarentena,58,spotify:playlist:5espCSbRF95MPk6teSglNu
45,POP Party by @RodriVidela,223,spotify:playlist:4vqoPqnCiXvEJWrlM8AZJC
46,COVID-19 QUARANTINE PARTY,215,spotify:playlist:65b9EfaXlJD2WGGQKMEt4y
47,Salio temprano a janguear pa pasarla bien y portarse mal / Anuel AA y Tego Calderon,33,spotify:playlist:3J5BkdmvYhIgSXTbuq1JAQ
48,Quarantine Workout Vibes 😷🤢💪🏽,234,spotify:playlist:71pOBQVVKLEZa1C0pTYtUR
49,Industrial Quarantine,65,spotify:playlist:5O8xJQqdiC3atiLr8TXWFb
50,Quarantine Party  ⚡️ F*ck COVID-19,95,spotify:playlist:0TA7T0dfJK4dy3AsprNMSr
51, COVID 19 Quarantine Chilling,145,spotify:playlist:1Ou9VxpJLAestgL7JKYnfE
52,COVID-19 QUARANTINE RAP,318,spotify:playlist:1SVmjQKQkg8zYHnWns26SZ
53,HOME WORKOUT MOTIVATION 💪 // CLEAN Hype Songs for Home Gym Workouts / No Gym / At Home Workout Plan,134,spotify:playlist:0zq7LEDX3s6q0KtrzRP9UZ
54,Post COVID-19🍾🆘,156,spotify:playlist:2s9zqYd62DC6DNux8PSYPW
55,covid quarantine,30,spotify:playlist:125oLG5CaJ1RLXKet0FXl0
56,COVID-19 QUARANTINE PARTY,74,spotify:playlist:7tdwbqOJeCqf9dKLzg5u8w
57,Intro telefono perreo.🔥,551,spotify:playlist:5a0CuZ7zWRTpfyrGkvaijw
58,Reboot - Music in the Time of Covid,122,spotify:playlist:36sJlfis4GWH6tzaWRvFMl
59,The Covid 19,19,spotify:playlist:1YTz6JO92buAYz6sdrhdTp
60,ThePurge,964,spotify:playlist:2btp9iqz2WExbpRmjdlz74
61,Canciones más contagiosas que el COVID-19,108,spotify:playlist:2HEUMTbHdvqzsyyOWdkCFd
62,CORONA VIRUS Covid-19 Quarantine Party Playlist,130,spotify:playlist:6EMaBkPlYrRftkKoQ7iU2E
63,8D PLAYLIST: Best Coronavirus 3D/4D & 9D/10D & 16D Audio Hit Tunes Selected for you!,63,spotify:playlist:4cSiRFuQ27z0Z3arWmhzxp
64,COVID-19 quaratunes,34,spotify:playlist:5YnnA8YzElQIQgkqrAouPp
65,La bebecita bebelin,928,spotify:playlist:6kHtVLX6Q65qDxMZ9HHZx7
66,Caldito de Pollo for the Quarantined Soul,28,spotify:playlist:1nNWhujaR6lyDusJj5ghd2
67,Hollow Front: The Official [Quarantine] Playlist,30,spotify:playlist:3AY0tsGoInmMASVr6Q7DxB
68,Coviddisco 2020,58,spotify:playlist:5f9ZJfxl93NJjbvGEAb3Sz
