,artist_name,track_name,track_id,popularity
0,Juice WRLD,Wishing Well,6o3QUC5oAE4g6WxRIFcZtb,93
1,The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,99
2,Juice WRLD,Come & Go (with Marshmello),7y7w4tl4MaRC2UMEj1mPtr,92
3,StaySolidRocky,Party Girl,5RqR4ZCCKJDcBLIn4sih9l,94
4,Juice WRLD,Conversations,2fZTS0VboxRpF0FdfY7E5P,89
5,Juice WRLD,Hate The Other Side (with Marshmello & The Kid Laroi),66FgjA5ZQJJuypFG1bc8se,89
6,THE SCOTTS,THE SCOTTS,39Yp9wwQiSRIDOvrVg7mbk,92
7,Taylor Swift,cardigan,4R2kfaDFhslZEMJqAFNpdd,90
8,Lil Baby,We Paid (feat. 42 Dugg),6gxKUmycQX7uyMwJcweFjp,87
9,Lil Mosey,Blueberry Faygo,6wJYhPfqk3KGhHRG76WzOh,90
10,Taylor Swift,the 1,0Jlcvv8IykzHaSmj49uNW8,88
11,Taylor Swift,exile (feat. Bon Iver),4pvb0WLRcMtbPGmtejJJ6y,89
12,Pop Smoke,For The Night (feat. Lil Baby & DaBaby),0PvFJmanyNQMseIFrU708S,89
13,Powfu,death bed (coffee for your head),7eJMfftS33KTjuF7lTsMCx,95
14,Rod Wave,Rags2Riches (feat. ATR Son Son),1ENdcyhqdylaLsPVgB83qq,87
15,Don Toliver,After Party,527k23H0A4Q0UJN3vGs0Da,89
16,Megan Thee Stallion,Savage Remix (feat. Beyoncé),5v4GgrXPMghOnBBLmveLac,90
17,Juice WRLD,Life's A Mess (feat. Halsey),4h5N4KyWZMtpeH9vhXSXjd,88
18,Pop Smoke,The Woo (feat. 50 Cent & Roddy Ricch),1H7KnK26kc1YyellpbINEn,90
19,Juice WRLD,Righteous,615vw74T1NebV8pKoutm2J,87
20,Juice WRLD,Blood On My Jeans,3MmCFghNjzZMn3HKqbVizn,86
21,Taylor Swift,the last great american dynasty,2Eeur20xVqfUoM3Q7EFPFt,87
22,Lil Baby,The Bigger Picture,44gRhRi2OhEf7moAUj6MD1,86
23,Taylor Swift,my tears ricochet,1MgV7FIyNxIG7WzMRJV5HC,86
24,Drake,Chicago Freestyle (feat. Giveon),4wVOKKEHUJxHCFFNUWDn0B,88
25,Taylor Swift,august,3hUxzQpSfdDqwM3ZTFQY0K,86
26,Polo G,Flex (feat. Juice WRLD),2QqJTIlGKRLJC3onkavYEz,86
27,Gunna,DOLLAZ ON MY HEAD (feat. Young Thug),3nS9a01VvXHQriLqJYwRqG,86
28,Chris Brown,Go Crazy,1IIKrJVP1C9N7iPtG6eOsK,89
29,The Kid LAROI,GO (feat. Juice WRLD),2t7D3y0jvYjR8IP9Bosyew,87
30,Drake,Toosie Slide,127QTOFJsJQp5LbJbu3A1y,92
31,Taylor Swift,mirrorball,0ZNU020wNYvgW84iljPkPP,85
32,Juice WRLD,Titanic,1QoG0Yqz1onMsdbOibZVke,85
33,Taylor Swift,seven,6KJqZcs9XDgVck7Lg9QOTC,85
34,DJ Khaled,POPSTAR (feat. Drake),6EDO9iiTtwNv6waLwa1UUq,90
35,Taylor Swift,invisible string,6VsvKPJ4xjVNKpI8VVZ3SV,85
36,Juice WRLD,Bad Energy,0JoWBcL61YWLXM5vW0YTHO,85
37,Juice WRLD,Stay High,1AnkdcHl86kEhDvhaKDuIe,85
38,Taylor Swift,this is me trying,7kt9e9LFSpN1zQtYEl19o1,85
39,Ariana Grande,Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,93
40,Taylor Swift,illicit affairs,2NmsngXHeC1GQ9wWrzhOMf,85
41,Juice WRLD,Up Up And Away,5lcIegmdblnWqT9nS9EhZj,85
42,Taylor Swift,betty,5kI4eCXXzyuIUXjQra0Cxi,84
43,Lady Gaga,Rain On Me (with Ariana Grande),24ySl2hOPGCDcxBxFIqWBu,92
44,Polo G,21,3JKgcAa7r07ocVWcV8bS0H,85
45,Marshmello,Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,91
46,Taylor Swift,mad woman,2QDyYdZyhlP2fp79KZX8Bi,84
47,Juice WRLD,Man Of The Year,1uA914Md6wsy9NDryyBypH,84
48,Juice WRLD,Fighting Demons,0jo6Nd4iJU0UFHqS0Xd4l4,84
49,Juice WRLD,Tell Me U Luv Me (with Trippie Redd),7iIzwqG5UxPYwTYUUK4pzU,84
50,The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,99
51,Juice WRLD,Come & Go (with Marshmello),7y7w4tl4MaRC2UMEj1mPtr,92
52,StaySolidRocky,Party Girl,5RqR4ZCCKJDcBLIn4sih9l,94
53,Juice WRLD,Conversations,2fZTS0VboxRpF0FdfY7E5P,89
54,Juice WRLD,Hate The Other Side (with Marshmello & The Kid Laroi),66FgjA5ZQJJuypFG1bc8se,89
55,THE SCOTTS,THE SCOTTS,39Yp9wwQiSRIDOvrVg7mbk,92
56,Taylor Swift,cardigan,4R2kfaDFhslZEMJqAFNpdd,90
57,Lil Baby,We Paid (feat. 42 Dugg),6gxKUmycQX7uyMwJcweFjp,87
58,Lil Mosey,Blueberry Faygo,6wJYhPfqk3KGhHRG76WzOh,90
59,Taylor Swift,the 1,0Jlcvv8IykzHaSmj49uNW8,88
60,Taylor Swift,exile (feat. Bon Iver),4pvb0WLRcMtbPGmtejJJ6y,89
61,Pop Smoke,For The Night (feat. Lil Baby & DaBaby),0PvFJmanyNQMseIFrU708S,89
62,Powfu,death bed (coffee for your head),7eJMfftS33KTjuF7lTsMCx,95
63,Rod Wave,Rags2Riches (feat. ATR Son Son),1ENdcyhqdylaLsPVgB83qq,87
64,Don Toliver,After Party,527k23H0A4Q0UJN3vGs0Da,89
65,Megan Thee Stallion,Savage Remix (feat. Beyoncé),5v4GgrXPMghOnBBLmveLac,90
66,Juice WRLD,Life's A Mess (feat. Halsey),4h5N4KyWZMtpeH9vhXSXjd,88
67,Pop Smoke,The Woo (feat. 50 Cent & Roddy Ricch),1H7KnK26kc1YyellpbINEn,90
68,Juice WRLD,Righteous,615vw74T1NebV8pKoutm2J,87
69,Juice WRLD,Blood On My Jeans,3MmCFghNjzZMn3HKqbVizn,86
70,Taylor Swift,the last great american dynasty,2Eeur20xVqfUoM3Q7EFPFt,87
71,Lil Baby,The Bigger Picture,44gRhRi2OhEf7moAUj6MD1,86
72,Taylor Swift,my tears ricochet,1MgV7FIyNxIG7WzMRJV5HC,86
73,Drake,Chicago Freestyle (feat. Giveon),4wVOKKEHUJxHCFFNUWDn0B,88
74,Taylor Swift,august,3hUxzQpSfdDqwM3ZTFQY0K,86
75,Polo G,Flex (feat. Juice WRLD),2QqJTIlGKRLJC3onkavYEz,86
76,Gunna,DOLLAZ ON MY HEAD (feat. Young Thug),3nS9a01VvXHQriLqJYwRqG,86
77,Chris Brown,Go Crazy,1IIKrJVP1C9N7iPtG6eOsK,89
78,The Kid LAROI,GO (feat. Juice WRLD),2t7D3y0jvYjR8IP9Bosyew,87
79,Drake,Toosie Slide,127QTOFJsJQp5LbJbu3A1y,92
80,Taylor Swift,mirrorball,0ZNU020wNYvgW84iljPkPP,85
81,Juice WRLD,Titanic,1QoG0Yqz1onMsdbOibZVke,85
82,Taylor Swift,seven,6KJqZcs9XDgVck7Lg9QOTC,85
83,DJ Khaled,POPSTAR (feat. Drake),6EDO9iiTtwNv6waLwa1UUq,90
84,Taylor Swift,invisible string,6VsvKPJ4xjVNKpI8VVZ3SV,85
85,Juice WRLD,Bad Energy,0JoWBcL61YWLXM5vW0YTHO,85
