,uri,count,name,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,377,Toxic,11/13/2003,79,FALSE,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,198800
1,spotify:track:0VgkVdmE4gld66l8iyGjgx,162,Mask Off,6/30/2017,80,TRUE,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,204600
3,spotify:track:2xLMifQCjDGFmkHkpNLD9h,290,SICKO MODE,8/3/2018,89,TRUE,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820
4,spotify:track:66s45uMhk7Y4z0xUgESdm3,62,Unwell - 2007 Remaster,9/29/2007,62,FALSE,0.442,0.793,9,-5.152,1,0.0347,0.0456,0,0.328,0.437,80.985,237267
5,spotify:track:5veJDT0MLsLbhYsx42GXUD,361,Don't Stand So Close To Me,10/3/1980,69,FALSE,0.799,0.506,2,-9.414,1,0.0606,0.0453,0.00107,0.0365,0.518,140.309,242667
6,spotify:track:0snQkGI5qnAmohLE7jTsTn,98,Toxicity,9/4/2001,77,FALSE,0.413,0.873,8,-4.151,1,0.0535,0.000264,0.0025,0.204,0.481,116.681,218933
7,spotify:track:3pIYV8ajPqkgTABRR54rWP,43,Fever,7/15/2016,44,FALSE,0.786,0.729,0,-5.931,1,0.0536,0.00774,1.45E-05,0.0704,0.479,112.96,184987
8,spotify:track:4UDmDIqJIbrW0hMBQMFOsM,236,Stayin' Alive,12/13/1977,64,FALSE,0.707,0.535,10,-19.793,0,0.0436,0.113,0.00615,0.0884,0.641,103.644,92867
11,spotify:track:47tVRotmsKNeNqO7xU5og2,132,You Sound Like You're Sick - 2002 Remaster,7/20/1981,40,FALSE,0.334,0.925,1,-4.973,1,0.046,0.00767,2.78E-06,0.253,0.756,206.955,161267
12,spotify:track:2i3WO0WkrlnrA1I4GdUmxh,30,I Believe I'm Fine,9/29/2017,56,FALSE,0.711,0.747,10,-6.165,0,0.061,0.271,0,0.328,0.572,100.01,227720
13,spotify:track:1DhRbox3xkceP64k3JeYfW,99,Antisocial (with Travis Scott),7/12/2019,71,FALSE,0.716,0.823,5,-5.313,0,0.0495,0.132,0,0.361,0.91,151.957,161747
16,spotify:track:7zxLkZbUxITHabPzGN8Xgc,46,Sick Feeling,10/5/2018,62,FALSE,0.425,0.504,9,-10.003,1,0.0314,0.022,3.84E-06,0.363,0.403,165.818,155714
17,spotify:track:1qowUCis8gYY9KOMuy8fCi,34,Made In China,4/13/2018,52,FALSE,0.79,0.779,1,-2.642,1,0.0416,0.00397,0.000155,0.159,0.228,150.115,171733
25,spotify:track:69oAflKTaF6WOhvRe3y4qW,29,The Kids Don't Stand A Chance,1/27/2008,43,FALSE,0.659,0.463,0,-6.251,1,0.0365,0.291,0.568,0.175,0.881,140.01,243000
26,spotify:track:1qDrWA6lyx8cLECdZE7TV7,77,Somebody That I Used To Know,1/1/2011,76,FALSE,0.865,0.521,0,-6.932,1,0.0371,0.548,0.000115,0.0989,0.748,129.059,244885
27,spotify:track:22VdIZQfgXJea34mQxlt81,164,Can't Feel My Face,8/28/2015,79,FALSE,0.705,0.769,9,-5.526,0,0.0425,0.113,0,0.105,0.583,107.949,213520
28,spotify:track:4V9JDRqKjN8F2HWdlEDxvI,192,Harder To Breathe,2002,65,TRUE,0.662,0.908,1,-4.764,0,0.0449,0.0506,0,0.0508,0.967,149.941,173693
29,spotify:track:49A10weBfgwg4TUM3My7iv,22,We Might Be Dead By Tomorrow,2012,55,FALSE,0.391,0.152,7,-16.558,1,0.0391,0.966,0.00197,0.119,0.0974,143.508,161413
30,spotify:track:4qUtC2BwFC154Ha8YQRrkk,36,How to disappear,8/30/2019,65,FALSE,0.326,0.303,9,-11.802,1,0.047,0.565,0.000655,0.161,0.0677,78.888,228071
32,spotify:track:5c9ItJuD8wnUrWsudy6Zfx,21,Rather Die Young,2011,24,FALSE,0.628,0.665,4,-6.626,1,0.112,0.158,0.00278,0.177,0.447,72.032,222480
33,spotify:track:5eYUop8tCdGoGBn4U66uNa,11,Dead Body Disposal,2001,35,TRUE,0.786,0.941,3,-4.882,0,0.26,0.434,0,0.159,0.793,94.048,343400
35,spotify:track:3zmduBNsQ6BPDTZAkXzG5K,28,Can't Be Touched (feat. Mr. Magic & Trouble),10/26/2004,71,TRUE,0.642,0.777,4,-4.809,0,0.094,0.00323,0,0.227,0.413,96.986,214400
36,spotify:track:3v0ylYF51SKkgAi4PrfKTq,26,I'm So Sick,2005,49,FALSE,0.431,0.959,10,-4.257,1,0.0854,6.13E-05,6.19E-06,0.118,0.269,153.925,176160
40,spotify:track:3EXoXwJg7YCKBG0GZbJFqB,55,No Air (feat. Chris Brown),3/4/2008,41,FALSE,0.461,0.757,11,-5.01,1,0.212,0.0494,0,0.0603,0.333,159.997,264547
41,spotify:track:3MO9JCG4Vcqpycq81ViwOJ,27,"You Touch Me, I Touch You Back",2/14/2020,34,FALSE,0.625,0.899,10,-5.967,0,0.0641,0.0091,0.000556,0.0844,0.371,109.966,216485
42,spotify:track:2CBhu2y2tqaxxqKfg7gbsQ,22,Bad Disease,1/10/2020,38,FALSE,0.497,0.618,0,-7.304,0,0.0345,0.15,0.367,0.252,0.367,123.853,226939
43,spotify:track:3AA8xNhDC0MpqwkGX3EP5V,86,If I Ever Feel Better,3/6/2000,66,FALSE,0.755,0.553,6,-9.449,0,0.107,0.0492,0.00607,0.0646,0.836,119.7,266600
51,spotify:track:6L7Ba0I4v3XyzqWqBXK92u,10,Collapsible Lung,7/2/2013,36,FALSE,0.707,0.557,2,-8.124,1,0.0432,0.0256,0,0.22,0.261,108.017,200852
52,spotify:track:1hZJcuz9iMoz6tLkFlIaUy,97,Take My Breath Away,1/1/2007,62,FALSE,0.578,0.477,1,-8.119,1,0.0228,0.448,0.00031,0.124,0.511,95.892,264213
54,spotify:track:2HWXlAYYHRSwAjWq63Ezm1,12,City With No Children,7/1/2010,31,FALSE,0.514,0.685,6,-4.911,1,0.0329,0.154,0.503,0.1,0.642,128.203,191600
55,spotify:track:4W8kRoExIlgYJLahiHY2No,13,Keep Your Hands Off My Girl,11/12/2010,37,FALSE,0.598,0.951,1,-3.7,1,0.138,0.0145,0,0.586,0.638,137.917,203947
57,spotify:track:1JyFfLj000cY275h9reTHP,18,Burnin' Up,1/1/2009,34,FALSE,0.669,0.943,2,-4.125,1,0.073,0.0282,0,0.447,0.857,114.014,173987
58,spotify:track:2k2Nwz0FLUIKl7UyavRhjx,28,Caught a Lite Sneeze - 2016 Remaster,1/22/1996,42,FALSE,0.6,0.772,5,-8.483,0,0.0444,0.37,4.46E-06,0.0641,0.921,79.059,265213
59,spotify:track:1B75hgRqe7A4fwee3g3Wmu,325,U Can't Touch This,2/20/1990,73,FALSE,0.867,0.517,11,-13.222,0,0.0875,0.00456,0.000339,0.0864,0.866,133.148,257360
60,spotify:track:174rZBKJAqD10VBnOjlQQ3,35,How Do I Breathe,12/11/2007,69,FALSE,0.684,0.455,5,-8.216,1,0.0307,0.215,1.08E-06,0.263,0.487,97.956,216893
61,spotify:track:7EQGXaVSyEDsCWKmUcfpLk,108,Die Young,11/30/2012,76,FALSE,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,211920
62,spotify:track:00BHe2yBtdOzhKPmI7rpTE,35,Locked Up,1/1/2004,63,TRUE,0.818,0.579,7,-4.475,1,0.101,0.023,0,0.107,0.354,89.987,235067
64,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,168,Every Breath You Take,6/17/1983,83,FALSE,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,253920
65,spotify:track:4Ouhoi2lAhrLJKFzUqEzwl,25,Born To Die,1/1/2012,68,FALSE,0.428,0.626,4,-6.639,0,0.0339,0.222,8.22E-05,0.277,0.379,86.02,285400
66,spotify:track:4tCtwWceOPWzenK2HAIJSb,214,Work from Home (feat. Ty Dolla $ign),5/27/2016,78,FALSE,0.803,0.585,8,-5.861,1,0.0432,0.103,3.94E-06,0.0644,0.593,105.017,214480
67,spotify:track:6zcewyuB1rZPbqvqidGXMQ,16,Between Two Lungs,2009,48,FALSE,0.547,0.415,0,-6.429,1,0.0491,0.222,5.11E-06,0.126,0.481,149.96,249240
68,spotify:track:3dhjNA0jGA8vHBQ1VdD6vV,108,I Feel It Coming,11/25/2016,80,FALSE,0.773,0.819,0,-5.946,0,0.118,0.428,0,0.0679,0.585,92.987,269187
69,spotify:track:2takcwOaAZWiXQijPHIx7B,57,Time Is Running Out,3/23/2004,67,FALSE,0.585,0.842,9,-5.883,0,0.0556,0.00242,0.00686,0.0866,0.428,118.211,237040
