,Rank,Artist,Title,Streams,Date
0,1,Tones And I,Dance Monkey,"14,597",2020-01-09
1,1,Tones And I,Dance Monkey,"14,649",2020-01-10
2,1,Tones And I,Dance Monkey,"11,630",2020-01-11
3,1,Roddy Ricch,The Box,"13,100",2020-01-12
4,1,Roddy Ricch,The Box,"13,355",2020-01-13
5,1,Tones And I,Dance Monkey,"11,798",2020-01-14
6,1,Tones And I,Dance Monkey,"12,065",2020-01-15
7,1,Roddy Ricch,The Box,"15,578",2020-01-16
8,1,Roddy Ricch,The Box,"15,299",2020-01-17
9,1,Roddy Ricch,The Box,"12,389",2020-01-18
10,1,Eminem,Godzilla (feat. Juice WRLD),"13,110",2020-01-19
11,1,Roddy Ricch,The Box,"12,384",2020-01-20
12,1,Roddy Ricch,The Box,"12,129",2020-01-21
13,1,Eminem,Godzilla (feat. Juice WRLD),"12,878",2020-01-22
14,1,Roddy Ricch,The Box,"15,879",2020-01-23
15,1,Roddy Ricch,The Box,"16,286",2020-01-24
16,1,Roddy Ricch,The Box,"12,548",2020-01-25
17,1,Roddy Ricch,The Box,"11,828",2020-01-26
18,1,Roddy Ricch,The Box,"12,530",2020-01-27
19,1,Roddy Ricch,The Box,"12,404",2020-01-28
20,1,Roddy Ricch,The Box,"12,322",2020-01-29
21,1,Roddy Ricch,The Box,"14,758",2020-01-30
22,1,Roddy Ricch,The Box,"15,713",2020-01-31
23,1,Roddy Ricch,The Box,"12,372",2020-02-01
24,1,Roddy Ricch,The Box,"12,048",2020-02-02
25,1,Roddy Ricch,The Box,"12,347",2020-02-03
26,1,Roddy Ricch,The Box,"12,352",2020-02-04
27,1,Roddy Ricch,The Box,"12,496",2020-02-05
28,1,Roddy Ricch,The Box,"14,978",2020-02-06
29,1,Roddy Ricch,The Box,"15,594",2020-02-07
30,1,Roddy Ricch,The Box,"13,021",2020-02-08
31,1,Roddy Ricch,The Box,"12,092",2020-02-09
32,1,Roddy Ricch,The Box,"12,384",2020-02-10
33,1,Roddy Ricch,The Box,"13,114",2020-02-11
34,1,Roddy Ricch,The Box,"12,878",2020-02-12
35,1,Roddy Ricch,The Box,"15,137",2020-02-13
36,1,Roddy Ricch,The Box,"15,327",2020-02-14
37,1,Roddy Ricch,The Box,"12,003",2020-02-15
38,1,Roddy Ricch,The Box,"11,707",2020-02-16
39,1,Roddy Ricch,The Box,"11,787",2020-02-17
40,1,Roddy Ricch,The Box,"12,186",2020-02-18
